name;long;lat;location
Salamanca;-91.5292668928;78.7124064256;Central Region
Magdeburg;-45.13164032;2.0017690624;Oost-Vlaanderen
Quickborn;-154.8665513984;-53.9207348224;Piura
Valbrevenna;154.0626014208;-85.7982475264;Los Lagos
Guizhou;-50.3864462336;-59.7201036288;Vlaams-Brabant
Roxas;102.2039114752;41.788759552;Xīběi
Melilla;78.31680256;-42.0516668416;Comunitat Valenciana
Gangtok;150.6300729344;45.1720783872;Tabasco
Haddington;57.5258094592;-18.7315810304;Novgorod Oblast
Palmerston;43.2802673664;-62.7544670208;South Island
Nîmes;-29.905565184;-60.3898201088;Guanacaste
Hastings;-127.2109338624;8.5108962304;Canarias
Hong Kong;111.34374912;10.1132540928;Tarapacá
Mataram;-120.7928572928;-2.8471568384;Şanlıurfa
Ørsta;-154.2741280768;-16.569099264;Newfoundland and Labrador
Armadale;-66.8011165696;46.291257856;Alsace
Friedberg;-39.6879409152;-53.8868543488;Xīnán
Arendal;144.752456704;42.6800053248;Kahramanmaraş
Merbes-le-Ch‰teau;-98.2820445184;19.6117354496;Berwickshire
Oslo;21.9360572416;33.4687270912;Xīběi
Khuzdar;-0.0377065472;25.84553984;Northern Mindanao
Beypazarı;-144.193592832;-28.0035303424;Massachusetts
Pohang;-98.9205348352;-2.5128411136;Querétaro
Geelong;155.5298281472;-46.3208339456;Coahuila
Daman;-155.13262848;-13.837510656;North Island
Magadan;-124.8629513216;16.4944451584;Michigan
Zamora de Hidalgo;29.2674983936;-31.6726115328;Ulster
Nicoya;-107.4349181952;16.39923968;Hamburg
Darwin;-124.979674112;-40.9725889536;Antwerpen
Nederokkerzeel;130.907109888;-47.1434574848;Gilgit Baltistan
Poza Rica;-164.6355807232;62.0477113344;Mykolaiv oblast
Palma de Mallorca;-1.1473125376;-58.3086589952;Staffordshire
Canberra;-154.926679552;1.0651536384;Rogaland
Ogbomosho;116.500450816;-24.3501007872;Newfoundland and Labrador
Lublin;33.0073541632;-54.6460181504;North West
Kidapawan;-51.4155009024;-27.2715599872;South Island
Piła;145.5922750464;0.6367616;North Island
Aschaffenburg;137.4515616768;-28.0329846784;West Region
Jiangxi;139.0528974848;-36.733540352;Donetsk oblast
Lagos;57.1842243584;81.5442623488;Hatay
Leirvik;-33.2346210304;-30.2702777344;New South Wales
Ranst;38.8520615936;-60.4782363648;KwaZulu-Natal
Bischofshofen;-168.2829211648;36.0233453568;North Kalimantan
Alassio;159.2487698432;-42.683300864;North Region
Caucaia;111.9436665856;87.1086959616;Ankara
Juazeiro do Norte;47.961055232;-71.877638656;Jeju
Timaru;-121.7158738944;52.7891989504;Trøndelag
Collines-de-l'Outaouais;138.7956048896;-74.3665570816;Luik
Floriffoux;-134.3429733376;15.9211984896;Chelyabinsk Oblast
Couillet;-89.3413368832;-72.0876544;Saskatchewan
Cork;77.1537610752;44.306553856;Gelderland
Telde;-36.5209821184;11.5383757824;Junín
Jeju;142.7878508544;61.8269054976;Delta
Nova Iguaçu;-72.180240384;6.7959037952;Huádōng
Rixensart;170.8971935744;70.5390410752;East Region
Lapu-Lapu City;28.7836019712;-34.1754359808;Zhōngnán
Juliaca;39.6057677824;-35.0347005952;Lambayeque
Rzeszów;-158.4672318464;-88.8895814656;Colorado
Tampines;3.4070298624;-12.5869432832;Noord Holland
Chernihiv;-98.1655953408;-34.9115445248;Alberta
Castres;-54.1052980224;-48.0547104768;Kahramanmaraş
Champorcher;-50.225790976;5.150932992;Cajamarca
Asan;-168.2348946432;33.2547167232;Warmińsko-mazurskie
Kapolei;27.8871719936;58.096452608;Sokoto
Umlazi;-101.5713637376;-45.0391584768;Rio Grande do Sul
Merbes-Sainte-Marie;-174.134972416;-44.7155467264;Punjab
Gouda;-126.7591646208;43.0296459264;Cantabria
The Hague;-108.5187149824;19.393381376;Dalarnas län
Pervomaisk;-143.5718383616;-76.1914607616;Samsun
Camaragibe;-70.7370493952;50.027481088;East Region
Saratov;-116.8317611008;13.2431275008;Gyeonggi
Puerto Carreño;136.2586371072;21.39780352;Munster
Palena;156.91641856;-81.1276068864;Gävleborgs län
Stratford;31.4925008896;6.8982354944;Andalucía
Kapiti;-94.2694700032;75.9573343232;Iowa
Delitzsch;-0.4628983808;-39.1671211008;Vienna
Hebei;-144.4183223296;-28.8917249024;South Island
Ajaccio;47.4864262144;48.5823625216;Ontario
Mount Gambier;1.406588928;-67.6239533056;Alajuela
Bislig;47.8752524288;18.7517556736;Huádōng
Terme;122.4994441216;18.3358564352;Banten
Swabi;78.6713782272;27.5665542144;Yên Bái
Kerikeri;62.6371651584;-53.5222316032;Limón
Ân Thi;38.9113863168;51.365126144;Auvergne
Arequipa;-68.9827633152;-2.8381636608;Gauteng
Boryspil;124.9281947648;-33.7020002304;Oklahoma
Warszawa;-160.6689754112;-3.0575434752;Georgia
Emalahleni;130.8622170112;62.9955946496;Eastern Cape
Pangkalpinang;25.7740797952;65.8205420544;Balochistan
Yurimaguas;-16.1588617216;76.3916145664;Caraga
Toledo;-83.2092105728;55.2416268288;Jeju
Chepén;27.3173373952;26.3016551424;Lạng Sơn
Cajamarca;73.95204352;-66.4470894592;Vorarlberg
Leicester;-95.2603198464;47.9946509312;Sindh
Stilo;165.725543424;-19.25531392;Caquetá
Berlin;166.3703614464;-32.8771928064;Lubelskie
Chandigarh;-88.4879893504;34.6765331456;Volyn oblast
San Rafael Abajo;34.3323357184;-11.6545355776;Chernivtsi oblast
Inner Mongolia;20.151392256;76.6220867584;Rostov Oblast
Vị Thanh;95.8544104448;-14.421352448;Cagayan Valley
